Opponent,Round,Result,D,K,HB,CP,TGB,HBG,LBG,IP,GTH,HR,M,CM,UM,IM,MI50,RP,HO,HOA,Cl,CC,BUC,TIC,I50,R50,FF,KI,1%,TO,BTO,MTO,FTO,PR,PRA,Ch,Sm,Sp,PRF,T,TE,FTKL,MTKL,BTKL,G,B,RB,SE%,SS,GA%,DE%,I50%,K%,H%,C%,R50%,KI%,KE,HE,ED,EFFC,EFFR
Mansfield,11,W,72,40,32,21,23,12,11,0,16,6,37,-3,40,-3,3,280,-32,-8,-3,-9,0,6,2,4,-10,-10,6,-4,-3,2,-3,1,10,0,0,4,1,-9,-5,-3,-1,-5,2,10,0,21,12,-11,10,18,15,2,-2,7,-25,52,26,78,-3,5
Benalla,12,W,15,-9,24,1,8,4,4,-2,7,7,-34,-7,-27,-14,1,-63,-28,-3,1,-1,5,-3,18,-15,-5,1,2,1,-1,-10,12,18,0,0,0,4,1,18,14,4,9,5,2,3,-4,-15,1,8,2,-4,-4,9,-7,8,11,-15,30,15,-2,-8
Tatura,13,W,61,8,53,41,33,7,26,1,12,3,-7,10,-17,-5,17,484,-18,2,8,9,1,-2,33,-16,-7,-10,14,-3,0,-7,4,16,-4,-5,5,5,0,20,24,10,6,4,18,10,0,32,28,40,7,13,6,7,25,16,-11,20,51,71,16,-5
Rochester,14,W,-12,29,-41,-11,-14,-14,0,7,2,-9,18,2,16,3,0,149,-16,-6,-14,-6,0,-8,-5,13,6,8,7,-9,2,-4,-7,48,24,-2,-3,4,1,29,11,2,23,4,6,-8,0,0,-2,31,2,5,9,-4,0,-5,16,37,-37,0,-9,6
Kyabram,15,L,6,-29,35,21,38,14,24,-18,-11,6,-38,-2,-36,-15,-1,-171,-26,-2,-7,4,-10,-1,5,-6,-3,3,18,14,1,0,13,16,-3,2,0,16,2,17,18,5,13,-1,-3,3,-5,-15,-5,-1,0,-13,-5,4,15,3,17,-28,32,4,2,-2
Seymour,16,W,-5,-13,8,-2,6,8,-2,-3,4,5,-34,-9,-25,-9,-6,-93,-18,-2,2,-1,6,-3,20,-18,-1,-2,15,-2,-3,-12,13,11,16,-2,-2,17,7,-1,3,-1,4,-4,0,5,-2,-14,3,-6,-2,-5,-7,7,-11,-7,-22,-22,14,-8,-3,-14
Shepparton United,17,W,112,52,60,36,28,2,26,-7,13,0,12,4,8,-7,16,519,-42,-9,22,7,10,5,24,-3,1,2,2,9,-1,-3,13,8,5,-6,3,0,3,6,11,3,2,1,17,-2,0,3,15,28,10,16,9,12,16,25,-16,49,65,114,23,6
Mooroopna,18,W,23,45,-22,8,-3,0,-3,11,-15,6,68,20,48,9,18,365,-7,-7,-16,-8,-3,-5,14,-11,-2,0,-20,-12,-5,-17,10,4,-1,-4,0,-13,-3,9,13,0,0,9,6,1,-1,-1,6,17,7,12,19,-8,-4,13,25,69,-28,41,-13,-3
Shepparton Bears,FW1,W,46,37,9,12,15,7,8,0,-17,3,27,2,25,0,-3,220,-42,-13,0,-2,1,1,1,3,5,0,1,-1,-1,7,-7,9,-10,5,2,-18,-7,12,13,-2,12,2,5,-2,2,8,5,8,5,8,7,4,-6,1,0,36,13,49,-3,2
Kyabram,FW2,W,11,3,8,13,12,12,0,11,-3,-5,8,7,1,7,4,232,6,-6,-8,-3,-2,-3,4,4,-1,-3,-11,-11,4,-1,-14,6,-8,7,1,-12,2,6,13,3,-1,4,11,1,1,21,13,17,3,23,8,-3,5,18,31,20,2,22,-3,10
Shepparton Bears,GF,W,88,34,54,8,11,4,7,5,20,0,26,1,25,6,13,455,-34,-14,13,1,11,1,2,11,-8,-3,11,-10,-2,5,-13,-10,-20,6,4,1,-8,0,-6,-3,-3,6,13,9,-6,28,16,18,10,32,14,0,23,20,12,49,41,90,17,15
